objname,al2000,de2000,type,incl,logd25,brief,ut,bt,vt,kt,v,mabs
NGC4264,12.3266018,5.8467585,S0-a,43.09,0.934,21.481,14.9,13.672,12.792,9.91,2511.5,-19.315
NGC4277,12.334369,5.3409466,S0-a,76.34,0.879,22.677,15.776,14.395,13.498,10.801,2187.1,-18.465
NGC4259,12.3228384,5.3763837,S0,90,1.015,21.607,15.793,14.465,13.574,10.698,2474.9,-18.936
NGC4303A,12.3742269,4.5662732,Sc,16,1.055,21.919,14.13,13.525,13.115,11.212,1279.5,-18.07
IC3267,12.4015367,7.0413257,Sc,15.13,1.083,22.475,15.34,14.121,13.416,11.179,1235.5,-18.871
NGC4341,12.398194,7.1071601,S0,90,1.224,20.815,15.598,13.784,13.263,10.689,913.3,-17.192
IC3259,12.3968086,7.1866572,SABd,71.36,1.214,22.94,15.365,14.233,13.52,11.087,1414.1,-17.675
NGC4412,12.4433518,3.9647883,Sb,26.79,1.175,21.266,14.305,13.003,13.16,9.682,2256.9,-19.822
NGC4417,12.4473845,9.5842976,S0,90,1.49,20.641,13.195,11.951,11.218,8.23,816.4,-19.165
PGC040707,12.4425573,12.7430106,E,29.47,0.734,22.53,17.428,16.081,15.201,12.358,1297.9,-15.649
PGC041180,12.4930525,8.0579805,E,42,0.524,20.452,17.91,16.182,15.63,12.413,1392.1,-14.995
NGC4496A,12.5275697,3.939608,Scd,38.5,1.528,22.292,12.663,12.111,11.591,9.73,1730.5,-18.976
NGC4488,12.5142721,8.3600991,S0-a,90,1.44,22.595,14.632,12.902,12.022,9.452,980.1,-17.125
NGC2573,1.6930943,-89.3345901,Sc,69.9,1.283,22.056,13.955,14.115,13.525,10.861,2428.9,-19.485
NGC0802,1.9850148,-67.8701744,S0-a,57.53,0.954,19.561,14.01,14.15,13.68,11.45,1479.1,-17.231
NGC1473,3.7903134,-68.2205793,IB,68.12,1.184,21.606,13.141,13.431,12.911,11.322,1391.5,-18.642
NGC2082,5.6975333,-64.3010833,SBb,26.25,1.313,21.784,12.647,12.747,12.187,9.33,1194.7,-18.312
NGC2150,5.9295431,-69.560875,Sab,62.46,1.061,20.929,13.615,13.625,13.025,9.771,4467.5,-21.289
NGC2466,7.7544458,-71.4104306,Sc,16,1.179,22.06,13.448,13.718,13.138,10.131,5321.5,-21.372
IC4705,18.4695198,-71.6939166,SBa,58.3,1.237,22.14,13.499,13.439,12.779,9.8,3510.7,-20.669
