objname,al2000,de2000,type,incl,logd25,brief,ut,bt,vt,kt,v,mabs
NGC7290,22.474015,17.1473202,Sbc,63.94,1.173,21.701,13.782,13.822,13.272,10.768,2899.4,-20.126
NGC7624,23.3396153,27.3155,SABc,48.64,1.114,21.932,13.874,13.814,13.114,9.905,4272.8,-21.119
PGC032429,10.8306219,1.2046743,Sb,64.46,0.97,23.516,17.047,15.357,14.71,11.342,11656.7,-21.556
PGC035125,11.4259323,22.818996,Sb,26.78,0.912,22.153,15.638,14.612,14.052,11.299,6461.6,-20.48
PGC035911,11.6084726,26.860821,SBbc,26.23,0.817,22.821,15.677,14.868,14.428,12.069,9990.3,-21.234
PGC036779,11.7942613,19.9394059,SBb,73.06,0.97,22.737,16.465,15.512,14.602,11.398,6156.5,-20.225
UGC08076,12.9638693,29.6542102,Sc,50.95,0.943,22.752,15.817,15.007,14.497,12.605,2525.1,-18.373
UGC08161,13.0580819,26.5503767,SBab,77.88,1.068,23.024,16.261,15.182,14.362,11.172,6651.6,-20.477
PGC047241,13.4705542,28.6692816,Sm,72.18,0.83,21.857,17.191,15.892,14.892,12.254,11189.9,-20.861
UGC08548,13.5708028,31.4248598,Scd,41.94,0.79,22.485,16.837,15.533,15.133,13.967,4998.8,-19.135
PGC048096,13.6184614,0.36801,SBb,59.24,0.821,23.998,17.222,15.925,15.51,12.367,14204.9,-21.272
PGC048433,13.6866744,1.7798413,E-S0,90,0.802,19.163,16.394,15.578,15.098,12.836,8551.8,-20.186
UGC08911,13.9942682,28.0612223,SABc,48.8,0.837,24.23,16.836,15.731,15.13,12.592,10938.5,-20.772
PGC054762,15.3481203,8.3969479,S0-a,65.45,0.88,21.205,16.348,15.323,15.6,11.212,9289.3,-20.683
PGC056655,16.0119874,16.7162213,SABa,54.4,0.822,22,16.675,15.79,15.08,12.505,10653.7,-20.714
PGC056987,16.079291,17.4484309,Sc,50.57,0.815,22.002,16.73,15.557,14.987,12.369,10635,-21.028
UGC12812,23.8551837,20.5778346,Sc,77.7,0.974,20.307,14.851,14.591,13.791,13.535,5346.2,-21.196
NGC0693,1.8419075,6.1451551,S0-a,66.69,1.324,21.532,13.395,13.245,12.445,9.241,1561.3,-18.847
NGC2874,9.4298128,11.4245311,Sbc,74.76,1.309,21.909,15.207,13.332,12.482,8.878,3760.3,-21.291
NGC3074,9.9947832,35.3927895,SABc,31.27,1.292,23.23,15.687,13.466,12.826,10.41,5137.2,-21.164
IC0842,13.0109951,29.0194327,SBbc,62.7,1.057,22.75,16.074,14.724,13.934,10.809,7273.1,-21.025
NGC5032,13.2241552,27.8023718,Sb,59.52,1.29,22.949,15.307,13.701,12.821,9.737,6397.4,-21.823
NGC5806,15.0001103,1.8912683,Sb,60.4,1.481,21.703,14.219,12.347,11.647,8.462,1348.7,-19.859
UGC04211,8.0795566,10.7767157,Sd,80.09,1.043,22.062,16.216,14.802,14.5,10.541,10422,-21.885
NGC2954,9.6733552,14.9226262,E,77.24,1.156,21.02,14.851,13.303,12.393,9.468,3803.8,-20.621
NGC6389,17.5443846,16.401695,Sbc,41.08,1.08,22.759,12.955,12.845,12.095,9.301,3118.4,-21.217
IC1182,16.0935604,17.8020252,S0-a,40.64,0.925,22.409,16.387,15.28,14.651,11.011,10256.1,-21.018
NGC0473,1.3319639,16.5447034,S0-a,62.07,1.247,21.122,13.474,13.314,12.504,9.586,2129.8,-19.628
NGC0803,2.0624167,16.0309444,Sc,73.11,1.427,22.235,13.001,13.031,12.409,9.852,2099.1,-19.786
NGC0918,2.43079,18.4962296,Sc,57.57,1.49,23.405,13.269,13.089,13.215,9.051,1508.4,-20.017
NGC0797,2.0577528,38.117,SABa,30.31,1.082,22.277,13.968,13.578,12.638,9.661,5663.3,-21.408
NGC7674,23.4657507,8.778993,SBbc,26.68,1.049,21.452,13.896,13.976,14.19,9.854,8733.7,-21.953
NGC7214,22.1521339,-27.8095278,Sc,47.26,1.287,21.936,13.025,13.225,13.861,9.348,7118.6,-22.215
NGC7673,23.4614165,23.5889331,Sc,68.2,1.015,19.834,12.868,13.198,12.788,10.749,3407.2,-21.185
NGC1300,3.3280722,-19.4111944,Sbc,61.8,1.775,23.031,11.318,11.208,10.552,7.71,1578.2,-20.319
NGC1536,4.1832922,-56.4804731,SBc,44.9,1.223,22.486,13.491,13.531,12.901,9.995,1276.8,-17.59
PGC142937,8.3656498,21.0238404,Sc,72.05,0.658,22.885,17.409,16.427,15.35,13.766,7724.5,-19.771
PGC1010954,21.9386113,-7.9210141,E?,90,0.459,21.542,18.793,17.683,16.56,12.902,16878.7,-19.691
NGC0014,0.1461844,15.8165794,IB,55.65,1.184,23.115,14.595,13.022,12.442,10.511,865.4,-18.342
NGC0196,0.6549562,0.9127812,S0,51.88,1.104,21.093,15.665,14.428,13.488,10.121,4240.1,-19.652
NGC0521,1.4093887,1.7313664,Sbc,21.7,1.443,22.662,12.865,12.625,11.805,8.575,5022.9,-21.876
PGC093174,0.6868868,-9.5344283,S?,51.97,0.647,24.091,17.754,16.871,16.01,12.717,17130.1,-20.714
NGC0672,1.798318,27.4319784,SBc,69.64,1.846,22.775,11.306,11.406,10.916,8.697,425.9,-18.944
NGC0794,2.041475,18.3729444,E-S0,47.02,1.087,21.987,14.354,13.814,12.734,9.547,8224,-21.979
IC0178,1.9819071,36.6747343,Sab,35.05,0.973,21.496,14.296,14.056,13.276,10.115,4839,-20.74
UGC01794,2.328094,-0.2556659,Sb,62.85,0.883,19.291,15.961,14.84,14.17,11.548,7722.7,-21.021
NGC2290,6.8491389,33.4376111,Sa,53.85,0.906,22.08,14.43,14.01,13.03,10.058,5044.6,-21.014
NGC2336,7.451125,80.1780556,Sbc,58.31,1.7,23.099,11.251,11.191,10.676,7.858,2201.7,-21.957
NGC6384,17.540072,7.0603341,Sbc,66.58,1.39,23.357,11.853,11.623,10.632,7.571,1664.4,-21.423
IC1291,18.5646028,49.2785556,Sd,34.17,1.125,22.416,13.346,13.606,13.026,12.59,1963.9,-19.369
PGC068258,22.1980311,0.1087099,SBbc,51.71,0.961,23.322,16.182,15.161,14.221,11.212,9975.2,-21.309
NGC7250,22.3049461,40.5624227,Scd,80.19,1.327,21.424,13.158,13.198,12.558,10.293,1166.6,-18.958
NGC7343,22.6438615,34.0714659,Sb,38.04,0.957,21.292,14.548,14.358,13.498,10.511,7467.2,-21.38
NGC7518,23.2201972,6.3215833,SABa,58.49,1.101,22.187,14.63,14.33,13.49,10.092,3537.4,-19.992
NGC7515,23.213526,12.6791947,Sbc,30.83,1.218,21.731,13.34,13.23,12.48,9.355,4471.8,-21.183
PGC093252,0.7036038,-9.2974759,E?,47.51,0.516,21.799,18.132,17.061,15.98,12.642,19831.7,-20.733
PGC093255,0.7052111,-9.2579409,E?,90,0.592,21.76,18.278,17.109,16.04,12.791,16716.8,-20.255
PGC093259,0.7060187,-9.1166688,E?,90,0.558,22.325,18.494,17.529,16.52,13.308,15711.2,-19.683
PGC093260,0.7067231,-9.2713001,S?,26.6,0.418,21.683,18.563,17.505,16.64,13.488,18154.5,-19.972
PGC093265,0.7094142,-9.1461573,S?,59.46,0.566,22.771,18.81,17.683,16.8,13.594,16675.5,-19.974
PGC172705,0.6619111,-10.0138874,E?,79.89,0.595,21.514,18.655,16.975,16.7,12.967,17196.8,-20.434
PGC172727,0.6671331,-9.8812667,E?,69.3,0.64,21.477,17.981,16.563,16.3,12.269,17227.1,-20.852
PGC093170,0.685147,-9.296957,E?,90,0.54,21.581,18.523,17.352,16.28,13.048,17455.8,-20.108
PGC093250,0.703066,-9.5083895,S?,34.86,0.34,22.218,19.166,18.027,16.97,13.669,16413.4,-19.276
PGC985498,0.7194715,-9.8615248,E,38.29,0.792,22.188,17.108,15.815,15,11.362,15111.6,-21.301
PGC093160,0.6789543,-9.3731421,E?,90,0.487,22.51,19.272,18.14,17.21,14,17126.6,-19.269
PGC093229,0.6980094,-9.3584572,E?,90,0.461,22.208,19.395,18.34,17.29,14.284,18301.4,-19.256
PGC093244,0.7006948,-9.1446041,E?,90,0.467,23.256,19.754,18.628,17.58,14.92,16796.6,-18.75
PGC2800555,0.7020467,-9.2384797,E?,80.98,0.427,23.335,19.72,18.577,17.68,14.116,16677.5,-18.784
PGC2800508,0.6922822,-8.7441984,E?,90,0.438,22.123,19.862,18.055,17.7,13.756,17057.3,-19.361
PGC2800578,0.7067961,-9.8736307,E?,65.79,0.466,21.179,19.302,17.744,17.6,13.568,17297.9,-19.683
PGC2798962,0.7015549,-9.73336,S?,66.06,0.413,22.543,19.907,18.448,18,14.147,17562.1,-19.461
PGC985790,0.718336,-9.8373644,S?,58.64,0.55,22.014,18.256,16.907,16.4,12.9,14714.4,-20.451
NGC0691,1.8449222,21.7598889,Sbc,47.97,1.433,22.886,12.476,12.286,11.731,8.809,2664.8,-21.185
NGC1140,2.9093202,-10.0282842,SBm,73.77,1.31,19.712,12.346,12.776,12.426,10.539,1500.9,-19.269
IC2035,4.1505312,-45.5176012,E-S0,40.59,1.149,18.235,12.714,12.424,11.694,8.911,1503.9,-18.91
NGC1637,4.6911639,-2.8579167,Sc,31.1,1.502,22.401,11.607,11.557,10.8,7.691,715.6,-19.138
IC0381,4.7412361,75.6397222,SABb,24.91,1.17,22.533,13.431,13.201,12.431,9.369,2477.4,-20.056
NGC1800,5.1071397,-31.9541353,S?,46.96,1.19,20.897,12.946,13.116,12.576,10.272,803.5,-16.7
NGC2268,7.2381778,84.38225,Sbc,67.56,1.33,21.697,12.323,12.273,11.558,8.602,2224.5,-21.101
PGC023347,8.3221687,21.0588436,S0-a,50.7,0.752,21.688,16.181,15.47,14.88,12.284,4847.6,-18.924
UGC04332,8.3271815,21.1144011,Sb,60.34,1.06,23.79,16.084,14.855,14.177,10.288,5521.5,-20.551
NGC3389,10.8077573,12.5331631,Sc,66.16,1.428,22.502,14.042,12.497,12.037,9.491,1301.3,-19.665
NGC3486,11.0066791,28.9749673,Sc,46.05,1.765,21.905,10.914,11.074,10.568,8.089,680.6,-19.944
NGC3512,11.0674843,28.0367841,Sc,31.71,1.201,22.327,14.521,13.004,12.294,9.668,1371.7,-18.939
NGC3614,11.305927,45.7482168,SABc,46.98,1.398,23.745,14.852,13.01,12.15,9.766,2328.9,-20.081
NGC3733,11.5837825,54.8504969,SABc,74.92,1.531,23.552,12.772,12.972,12.432,12.026,1182.4,-19.64
NGC3725,11.5612575,61.8880043,SBc,35.35,1.188,22.622,15.212,13.788,13.178,10.125,3313.8,-19.997
NGC3756,11.6133416,54.2935902,SABb,62.19,1.28,22.388,13.509,12.079,11.52,8.781,1287.1,-20.035
NGC3928,11.863232,48.6831437,E,27.97,1.136,20.248,14.077,13.153,12.483,9.7,974.2,-17.841
NGC3955,11.8992092,-23.1641298,S0-a,90,1.618,21.018,12.564,12.594,11.904,8.744,1498.5,-19.492
NGC3958,11.9093535,58.3670671,Sa,75.1,1.102,22.084,15.62,13.812,13.022,9.816,3320,-20.201
NGC4116,12.1269084,2.6920426,SBcd,63.73,1.41,22.362,13.17,12.473,12.017,10.392,1309.2,-19.283
NGC4385,12.4285496,0.5726589,S0-a,65.54,1.332,21.38,14.451,13.152,12.957,9.686,2146,-19.617
PGC041571,12.5398923,-1.7401535,I,39.88,0.531,20.46,16.772,16.391,15.881,13.652,2085.3,-16.353
NGC4921,13.0239281,27.8859038,Sab,24.76,1.293,23.693,15.497,13.486,12.616,9.426,5469.8,-21.386
PGC044416,12.9692703,28.7086309,Sbc,77.84,1.033,23.493,15.608,15.478,14.798,11.806,7610.9,-20.513
NGC5102,13.3660083,-36.630125,E-S0,90,1.987,21.228,10.484,10.254,9.534,6.968,467.5,-17.91
NGC5195,13.4998206,47.2660603,SBa,40.55,1.74,21.253,10.806,10.496,9.582,6.275,472.3,-19.139
UGC08850,13.9341393,18.3721449,Sc,58.99,1.035,21.558,14.278,14.368,13.918,10.093,15191.2,-23.078
NGC5383,13.9513328,41.8463001,Sb,42.28,1.394,22.18,12.289,12.219,11.569,8.596,2204.7,-20.775
NGC5595,14.403728,-16.7234119,SABc,63.98,1.326,21.38,12.387,12.547,12.017,9.213,2704.3,-20.968
UGC10085,15.9074586,18.5255239,Sc,47.15,0.961,23.131,15.935,14.8,14.21,11.407,9724.4,-21.529
ESO137-006,16.2510467,-60.9071615,E,71.42,1.2,22.086,13.938,13.288,12.098,8.307,5452.3,-22.13
PGC093159,0.6789008,-9.3996475,E?,73.41,0.507,21.363,18.534,17.375,16.31,13.096,17530.8,-20.089
NGC7172,22.03383,-31.870171,Sa,52.91,1.44,22.138,13.228,12.838,12.476,8.328,2562.2,-20.215
IC5152,22.044835,-51.2965252,IAB,51.64,1.71,21.344,10.276,10.396,9.916,9.052,123.8,-16.46
NGC7252,22.3457491,-24.6782126,S0,25.01,1.267,20.731,12.988,12.788,12.128,9.353,4723.5,-21.564
NGC7497,23.1509352,18.177253,Sc,71.94,1.44,22.961,13.151,13.001,12.284,9.279,1707.2,-19.836
NGC7643,23.3806709,11.9888285,Sab,60.59,1.166,21.82,14.446,14.126,13.206,10.064,3875.1,-20.315
NGC7721,23.6468129,-6.5179905,Sc,81.44,1.489,22.134,12.094,12.244,11.667,8.725,2014.7,-21.404
NGC2445,7.7819722,39.01525,Sm,61.4,1.27,21.233,13.831,13.851,13.241,10.21,4006.5,-20.65
NGC2444,7.7814017,39.0319458,S0,63.01,1.028,20.879,14.763,14.233,13.223,10.168,3978.6,-19.892
NGC2188,6.1692954,-34.105812,SBm,90,1.734,22.36,11.821,12.091,11.621,11.444,742.8,-18.787
NGC2535,8.1870784,25.206881,SBc,63.08,1.286,21.885,15.208,13.3,12.69,10.177,4087,-21.324
NGC1210,3.1125989,-25.7166518,S0,66.21,1.064,22.315,13.781,13.521,12.711,10.208,3928,-20.281
NGC1571,4.36915,-43.6295278,E,70.48,1.332,20.795,13.657,13.187,14.002,9.226,4502.6,-20.895
NGC6776,19.4219713,-63.8602863,E,48.45,1.302,21.02,13.493,13.033,12.073,9.038,5501.4,-21.715
NGC3289,10.568728,-35.3233635,S0-a,90,1.298,21.203,13.943,13.483,12.553,9.571,2796.9,-19.842
NGC5557,14.3071453,36.493565,E,90,1.358,21.293,12.431,11.931,11.021,8.112,3213,-20.993
NGC5534,14.294518,-7.4174619,Sab,26.33,1.134,21.07,13.028,13.148,12.488,9.638,2632.4,-20.102
NGC0393,1.1435972,39.6443333,E,46.34,1.216,21.297,14.289,13.609,12.539,9.259,6102,-21.453
IC0450,6.8701,74.427,S0-a,63.19,1.14,20.556,15.051,14.931,14.116,9.63,5842.5,-20.481
UGC03374,5.9148833,46.4393611,SBbc,27.26,1.354,19.017,13.243,13.533,14.517,9.184,6134.3,-22.289
NGC5252,13.637736,4.5425601,S0,67.12,1.111,22.266,15.327,14.187,14.21,9.805,6909.6,-21.121
IC0538,9.4551416,23.0200727,S0-a,57.39,1.101,21.48,16.095,14.647,16,10.423,7920,-20.938
NGC7808,0.0589279,-10.7446585,S0,26.77,1.035,21.913,15.681,14.505,15.312,10.374,8865.6,-21.357
NGC2442,7.6066104,-69.5307523,Sbc,50.61,1.67,23.01,11.672,11.442,11.084,6.903,1457.8,-20.909
NGC6845,20.0162149,-47.0702845,SBbc,58.13,1.033,22.927,13.819,13.829,13.219,9.935,6679.3,-21.706
NGC2888,9.4388051,-28.035192,E,55.42,1.293,21.196,13.91,13.53,12.57,9.471,2416.7,-19.611
NGC3125,10.1092526,-29.9352743,E,55.84,1.083,19.792,12.889,13.359,12.869,10.534,1106.1,-17.683
NGC3224,10.3614431,-34.6966992,E,45.22,1.235,20.93,13.695,13.195,12.205,8.866,3015.2,-20.501
NGC3617,11.2974757,-26.1345012,E,64.22,1.252,21.151,14,13.65,12.75,9.828,2073.1,-18.895
NGC4106,12.1124884,-29.7682477,S0-a,41.19,1.617,21.649,12.789,12.279,11.299,8.061,2157.8,-20.404
NGC5237,13.6275076,-42.8470048,E-S0,64.65,1.369,21.971,13.246,13.226,12.486,9.955,360.9,-14.817
IC1729,1.7986847,-26.8921667,E,90,1.347,20.966,13.779,13.469,12.529,9.702,1503,-18.018
ESO245-005,1.7510702,-43.5985352,IB,20.88,1.525,23.972,12.55,12.8,12.35,10.205,393.7,-15.615
UGC07354,12.3194112,3.8561511,E,15.89,0.932,21.934,14.968,14.335,13.845,11.955,1527.5,-16.882
NGC5275,13.7065384,29.824848,S0-a,46.83,0.946,21.374,16.739,15.237,14.197,10.936,12542.1,-21.398
NGC3285,10.5599405,-27.4545191,Sa,65.48,1.473,21.883,13.463,13.033,11.979,8.616,3388.2,-21.44
NGC1672,4.7618093,-59.2473109,Sb,28.23,1.788,21.612,10.353,10.343,11.749,7.048,1338.8,-20.798
ESO338-004,19.4662002,-41.5752714,S?,71.94,0.928,21.367,13.017,13.437,13.147,12.672,2836.4,-20.62
NGC2492,7.9915847,27.0264337,E-S0,46.93,1.045,21.492,15.498,13.738,12.738,9.631,6649.8,-21.469
NGC3367,10.7763825,13.7507951,Sc,11.34,1.46,21.708,11.855,12.015,11.73,8.767,3039.2,-21.415
UGC03426,6.2601197,71.0375877,S0,35.67,1.234,19.481,14.129,13.949,13.259,9.004,4008.8,-20.863
UGC06923,11.9471082,53.1603464,IAB,49.32,0.98,22.044,14.912,13.908,13.388,11.34,1085,-17.592
NGC0658,1.7026806,12.6019167,Sb,55.59,1.17,22.102,13.213,13.313,12.408,9.789,2978.3,-20.433
NGC0493,1.3691601,0.9455526,Sc,74.64,1.478,22.699,14.389,12.953,12.483,10.266,2436.9,-20.079
NGC1507,4.0742147,-2.1880558,SBd,90,1.577,22.387,12.757,12.827,12.257,9.798,865.8,-19.233
NGC2701,8.9849246,53.7716571,Sc,49.21,1.288,22.027,12.643,12.783,12.363,9.725,2328.1,-20.276
NGC2770,9.159356,33.1234992,Sc,82.45,1.538,22.545,14.579,12.76,12.21,9.571,1947.1,-20.563
NGC2424,7.6775786,39.2332827,Sb,90,1.527,22.23,15.526,13.61,12.63,9.342,3345.2,-21.164
NGC3689,11.4697362,25.6610517,SABc,50.25,1.17,21.506,12.996,13.006,12.306,9.204,2737.8,-20.634
NGC4793,12.9112777,28.9387445,Sc,61.1,1.26,21.898,14.348,12.3,11.64,8.905,2493.3,-20.761
NGC3471,10.9858319,61.5306337,SBa,65.01,1.254,21.167,14.493,13.247,12.777,9.615,2114.5,-19.325
NGC6239,16.8347115,42.7397293,SBb,65.8,1.362,21.284,13.885,12.889,12.399,10.082,926,-19.541
NGC5389,13.9350947,59.7420061,S0-a,90,1.515,21.091,13.326,12.886,11.976,8.641,1847.3,-19.77
NGC2681,8.892422,51.313765,S0-a,0,1.599,21,11.456,11.146,10.859,7.516,677,-20.078
NGC2950,9.7097577,58.8512297,S0,61.79,1.418,19.988,12.428,11.928,11.028,7.947,1328.7,-19.127
NGC4507,12.5935042,-39.9092917,Sab,32.45,1.137,21.673,13.146,13.016,13.131,8.876,3533.6,-20.983
NGC5427,14.057243,-6.0306417,SABc,25.49,1.557,21.578,11.81,11.96,12.388,8.644,2689.3,-21.143
PGC025295,9.0070514,39.0649413,Sb,40.86,0.552,21.773,18.872,17.592,16.66,13.1,17447.6,-19.898
UGC07009,12.0289125,62.3258981,IB,90,1.203,24.601,15.457,15.45,15.12,12.864,1087.8,-17.217
UGC07298,12.2750466,52.227996,I,61.4,0.981,23.801,17.823,15.926,15.572,16.39,172.1,-12.701
NGC6215,16.8519529,-58.9931413,Sc,27.75,1.421,20.827,11.77,11.89,11.35,8.3,1559.5,-20.498
NGC6221,16.8794668,-59.218049,Sc,50.96,1.685,21.58,10.885,10.725,12.087,7.138,1484.6,-20.652
NGC6872,20.2823163,-70.7679087,SBb,72.49,1.672,22.186,13.086,12.616,11.696,8.292,4702.7,-22.298
NGC4220,12.2699213,47.8832748,S0-a,90,1.525,21.211,14.102,12.229,11.329,8.159,916.8,-19.332
NGC4235,12.2860803,7.1915561,Sa,90,1.644,21.292,13.766,12.446,11.971,8.422,2423.3,-19.721
NGC4369,12.4100742,39.382767,SBa,18.56,1.297,20.42,13.077,12.347,11.687,8.94,1046.6,-19.118
NGC1602,4.4652694,-55.0578333,SBm,68.8,1.272,22.741,13.177,13.407,13.057,11.769,1572.3,-18.468
NGC2655,8.9273326,78.2234475,S0-a,66.21,1.594,20.862,11.409,10.979,10.394,6.981,1385.1,-21.217
NGC6907,20.4185081,-24.8093996,Sbc,37.46,1.522,21.855,11.948,11.918,11.228,8.415,3177.9,-21.708
NGC0024,0.1656513,-24.963769,Sc,70.09,1.791,22.068,12.01,12.08,11.5,8.713,553.3,-18.017
NGC1482,3.9108088,-20.5023357,S0-a,63.2,1.391,22.371,13.136,13.086,12.136,8.506,1860.3,-19.031
IC0989,14.2476027,3.1309257,E,45.26,0.993,21.126,15.657,14.003,13.073,9.836,7583.9,-21.508
NGC0612,1.5660417,-36.49325,S0-a,29.66,1.174,22.389,14.456,14.036,13.006,9.605,8995.1,-21.726
NGC3077,10.0552406,68.7341103,S?,34.78,1.717,21.279,12.452,10.635,9.878,7.411,-7.9,-17.732
UGC09562,14.8539984,35.5422708,Sm,49.92,0.909,21.433,15.559,14.42,13.92,12.147,1274.6,-17.659
NGC1510,4.0590657,-43.4000894,S0,35.91,1.121,20.488,13.279,13.469,13.019,10.507,928.4,-16.533
NGC1036,2.6747237,19.2970173,Sab,45.39,1.147,21.183,13.549,13.769,13.189,10.601,790.1,-17.084
NGC5408,14.0558694,-41.3770864,IB,68.06,1.454,21.773,11.87,12.2,11.64,11.251,506.3,-17.226
IC4662,17.7858682,-64.6400649,IB,90,1.321,21.019,11.435,11.805,11.395,9.451,305.5,-16.268
NGC1560,4.5469667,71.8830833,Scd,82.66,1.919,24.087,12.115,12.115,11.503,9.065,-37.8,-17.302
UGC03973,7.7090448,49.8098112,Sb,36.74,1.127,19.758,13.105,13.625,14.153,9.849,6653.5,-21.84
NGC3599,11.2574861,18.1103766,S0,28.32,1.38,21.885,13.201,12.881,12.011,9.31,837.1,-18.737
NGC4437,12.5459655,0.1145302,Sc,90,1.955,22.867,12.22,11.186,10.481,7.378,1127.4,-19.901
NGC3254,10.4889088,29.4920072,Sbc,64.41,1.37,22.396,12.378,12.288,11.66,8.908,1367,-21.114
NGC3259,10.5430156,65.0410942,SABb,61.14,1.235,20.838,14.919,12.969,12.72,10.229,1678.5,-20.004
NGC4100,12.1023768,49.5827722,Sbc,79.51,1.659,22.386,11.792,11.712,11.087,8.04,1115,-20.735
NGC7743,23.7392028,9.9340278,S0-a,37.1,1.417,22.062,12.792,12.402,12.433,8.441,1684.1,-19.278
NGC0357,1.0560764,-6.3392361,S0-a,40.67,1.325,21.826,13.828,13.158,12.018,8.501,2401.7,-20.058
NGC4038,12.0313932,-18.8682165,SBm,51.94,1.734,21.642,10.66,10.85,10.2,7.705,1634,-21.587
NGC1222,3.1490944,-2.9551667,E-S0,67.82,1.196,21.23,13.006,13.146,12.546,9.957,2454.5,-19.77
NGC2764,9.1381801,21.4432902,S0,65.64,1.06,21.467,14.916,13.656,12.896,9.831,2718.6,-19.558
NGC3032,9.8689421,29.2364216,S0,26.38,1.154,20.585,13.165,13.065,13.09,9.668,1541,-18.536
NGC2824,9.3172844,26.2700218,S0,65.84,0.985,20.551,15.58,14.229,12.674,10.168,2737.6,-18.988
NGC4150,12.1760168,30.4015782,S0,58.11,1.298,20.921,12.767,12.487,11.687,9.034,239,-18.512
NGC4119,12.1360012,10.3789045,S0-a,53.16,1.2,22.336,14.479,12.326,11.496,8.549,1651.8,-19.838
NGC4753,12.8727724,-1.1995791,S0-a,78.22,1.812,21.15,11.751,10.572,9.672,6.744,1242.8,-21.09
NGC7468,23.0497893,16.6048598,E,52.98,0.915,20.182,13.762,14.072,13.612,11.287,2084.5,-18.83
NGC4670,12.7547729,27.125522,SBa,33.67,0.987,21.311,13.422,13.155,12.755,10.459,1085.7,-18.303
NGC7625,23.3417069,17.2256058,Sa,14.98,1.169,20.726,13.087,12.937,12.197,8.894,1630.5,-19.222
UGC06665,11.7033972,0.3344026,Sb,71.87,1.1,19.436,14.664,14.166,13.566,13.293,5483.3,-21.109
NGC7465,23.0335972,15.9648611,S0,64.15,1.027,20.015,13.396,13.356,13.273,9.579,1948.7,-19.39
NGC7580,23.2934451,14.0010743,Sb,36.53,0.897,20.208,15.329,14.248,13.668,10.949,4410.4,-20.187
NGC2369,7.2771685,-62.3437661,Sa,90,1.482,21.698,13.603,13.183,12.263,8.502,3238.6,-20.733
NGC3256,10.4642431,-43.9037917,Sbc,48.22,1.517,20.838,12.016,12.096,11.456,8.14,2805,-21.586
NGC5135,13.4288946,-29.8335001,Sab,24.46,1.38,21,12.958,12.828,12.914,8.85,4104.3,-21.37
NGC7130,21.8054207,-34.9512433,Sa,33.67,1.194,20.255,12.926,12.926,12.722,9.23,4865,-21.537
ESO148-002,23.2629926,-59.0543534,Sm,49.61,0.972,20.634,14.936,15.156,14.717,11.72,13379.8,-21.634
NGC5961,15.5877324,30.864223,Sb,71.83,0.908,21.45,15.213,14.475,13.783,10.738,1773.1,-18.555
NGC3896,11.8156471,48.6747715,SBab,55.43,1.151,20.456,14.489,13.183,12.633,11.483,918.1,-18.25
NGC4194,12.2360053,54.5264728,SBm,52.56,1.215,19.385,12.748,12.948,12.769,9.671,2556.1,-20.486
NGC4169,12.2052156,29.1793662,S0,79.92,1.215,21.851,13.596,13.146,12.196,9.123,3804.2,-20.802
NGC7233,22.2636082,-45.846538,S0-a,29.11,1.241,21.442,13.141,13.151,12.531,9.63,1892,-19.017
NGC7232,22.2605569,-45.8499793,S0-a,85.37,1.456,21.512,13.267,12.867,11.887,8.571,1866.6,-19.459
NGC6770,19.3103636,-60.4964619,Sb,46.04,1.379,22.218,13.092,12.752,11.862,8.897,3841.6,-21.399
NGC0001,0.1210722,27.7079306,Sb,48.84,1.195,21.743,13.814,13.694,12.934,9.789,4550,-21.01
NGC0171,0.6226475,-19.9342711,Sab,54.36,1.313,22.146,13.098,12.978,12.248,9.235,3883.8,-21.103
NGC0214,0.6911166,25.4993442,SABc,48.03,1.274,21.266,13.067,12.937,12.207,9.22,4535.8,-21.553
NGC0237,0.7244008,-0.1249684,SABc,53.78,1.115,21.222,15.016,13.728,13.6,10.265,4169.8,-20.61
NGC0257,0.8004167,8.2970556,Sc,44.82,1.263,22.005,13.388,13.308,12.618,9.532,5277.1,-21.632
NGC2916,9.5826648,21.7052457,Sb,47.92,1.378,21.811,15.201,12.745,12.083,9.156,3715.8,-20.919
NGC5205,13.5010013,62.5115364,SBbc,56.05,1.2,22.53,14.95,13.436,12.77,9.776,1760.3,-19.609
NGC5406,14.0055879,38.9154284,Sbc,45.52,1.229,21.674,15.183,13.117,12.327,9.362,5388.6,-21.767
NGC5633,14.4578802,46.1465238,Sb,50.75,1.037,20.929,14.144,13.105,12.455,9.599,2325.8,-20.11
UGC10889,17.5059512,59.6398916,SBb,73.1,1.056,23.074,16.182,15.195,15.4,10.779,8522.4,-21.16
NGC7716,23.6087361,0.2972779,Sb,48.37,1.263,20.87,15.01,12.966,12.246,9.331,2558.2,-20.277
NGC0426,1.2135002,-0.2901797,E,60.31,1.08,20.383,15.771,13.838,12.888,9.906,5259.4,-20.771
NGC0677,1.8205647,13.0552581,E,0,1.257,23.269,15.568,13.258,12.268,9.337,5140.2,-21.556
NGC3837,11.7323432,19.8946806,E,36.44,0.968,20.838,15.687,14.241,13.241,9.995,6302,-20.8
NGC4065,12.0683788,20.2350467,E,60.9,1.112,21.444,15.477,13.581,12.571,9.717,6314.5,-21.521
NGC5423,14.0468424,9.3413177,E-S0,74.73,1.185,20.934,15.561,13.816,12.856,9.755,5912.5,-21.129
PGC065367,20.7810381,-12.8476683,IB,71.99,1.333,25.454,14.125,14.275,14.155,11.737,-139.5,-11.434
